factor,dimension,carga,carga_abs
Factor_34,emb_dim_0409,-0.3529931117458276,0.3529931117458276
Factor_34,emb_dim_0451,0.28729013981644325,0.28729013981644325
Factor_34,emb_dim_0343,0.27076974426535294,0.27076974426535294
Factor_34,emb_dim_0106,-0.26885723658391186,0.26885723658391186
Factor_34,emb_dim_0362,-0.2564495183602549,0.2564495183602549
Factor_34,emb_dim_0391,0.25183970470233286,0.25183970470233286
Factor_34,emb_dim_0126,0.2510108460958296,0.2510108460958296
Factor_35,emb_dim_0157,0.4870719211874884,0.4870719211874884
Factor_35,emb_dim_0404,-0.4347868689329529,0.4347868689329529
Factor_35,emb_dim_0208,0.28416372531597234,0.28416372531597234
Factor_35,emb_dim_0186,0.24921018529856684,0.24921018529856684
Factor_35,emb_dim_0299,-0.24695890708220267,0.24695890708220267
Factor_35,emb_dim_0437,0.2135180213322024,0.2135180213322024
Factor_35,emb_dim_0100,0.20614507877784088,0.20614507877784088
Factor_35,emb_dim_0135,0.20459087911816273,0.20459087911816273
Factor_36,emb_dim_0126,0.2936415612802573,0.2936415612802573
Factor_36,emb_dim_0206,-0.2412590257050373,0.2412590257050373
Factor_36,emb_dim_0481,-0.22564218480696582,0.22564218480696582
Factor_36,emb_dim_0150,0.22450253833683065,0.22450253833683065
Factor_36,emb_dim_0202,0.22207994714512172,0.22207994714512172
Factor_36,emb_dim_0294,0.20776396361410143,0.20776396361410143
Factor_36,emb_dim_0011,0.19708695327810408,0.19708695327810408
Factor_36,emb_dim_0107,-0.1886625696228321,0.1886625696228321
Factor_37,emb_dim_0306,0.5342726801021324,0.5342726801021324
Factor_37,emb_dim_0101,-0.28205555850983177,0.28205555850983177
Factor_37,emb_dim_0451,-0.2748388691526258,0.2748388691526258
Factor_37,emb_dim_0366,0.27253793470306553,0.27253793470306553
Factor_37,emb_dim_0477,-0.2660479288759752,0.2660479288759752
Factor_37,emb_dim_0002,0.2564324798702238,0.2564324798702238
Factor_37,emb_dim_0338,-0.2504002348465646,0.2504002348465646
Factor_37,emb_dim_0282,0.2292133776331009,0.2292133776331009
Factor_38,emb_dim_0421,0.6057706254562699,0.6057706254562699
Factor_38,emb_dim_0126,0.283685159960794,0.283685159960794
Factor_38,emb_dim_0374,0.24869432884478995,0.24869432884478995
Factor_38,emb_dim_0257,-0.21811073850529494,0.21811073850529494
Factor_38,emb_dim_0349,0.2167239289088233,0.2167239289088233
Factor_38,emb_dim_0094,-0.1989880620434338,0.1989880620434338
Factor_38,emb_dim_0325,-0.19811635927420657,0.19811635927420657
Factor_38,emb_dim_0185,-0.19521410709612386,0.19521410709612386
Factor_39,emb_dim_0492,-0.6587758051466155,0.6587758051466155
Factor_39,emb_dim_0212,0.31920545325293814,0.31920545325293814
Factor_39,emb_dim_0143,0.2791159813214012,0.2791159813214012
Factor_39,emb_dim_0230,-0.2760918207046757,0.2760918207046757
Factor_39,emb_dim_0138,-0.2596433252475714,0.2596433252475714
Factor_39,emb_dim_0084,-0.25936449335164513,0.25936449335164513
Factor_39,emb_dim_0037,0.25013922107318726,0.25013922107318726
Factor_39,emb_dim_0511,0.2365314218692232,0.2365314218692232
