pollutant,horizon_days,grid_id,lat,lon,prediction_corrected,kriging_variance,local_i,p_sim,quadrant,significant,lisa_cluster
NO2,7,g_032_038,3.4625,-76.4075,9.86897587776184,71.01840209960938,0.4238197869269954,0.004,1,True,high_high
NO2,7,g_032_039,3.4625,-76.4025,11.555255651474,72.19426727294922,2.223469252739117,0.001,1,True,high_high
NO2,7,g_033_000,3.4675,-76.5975,10.642369270324709,59.82699203491211,0.5512736155686332,0.081,1,False,not_significant
NO2,7,g_033_001,3.4675,-76.5925,9.184795379638672,59.04512023925781,-0.032009563889580664,0.238,2,False,not_significant
NO2,7,g_033_002,3.4675,-76.58749999999999,8.667426586151123,58.30913162231445,0.23860060510199646,0.144,3,False,not_significant
NO2,7,g_033_003,3.4675,-76.5825,8.599804878234863,57.622188568115234,0.3916972478049104,0.045,3,True,low_low
NO2,7,g_033_004,3.4675,-76.5775,8.610927104949951,56.987525939941406,0.4068995824357421,0.036,3,True,low_low
NO2,7,g_033_005,3.4675,-76.57249999999999,8.594798564910889,56.40840530395508,0.42386724488969063,0.033,3,True,low_low
NO2,7,g_033_006,3.4675,-76.5675,8.54421329498291,55.8880500793457,0.4684180743363882,0.026,3,True,low_low
NO2,7,g_033_007,3.4675,-76.5625,8.535844802856445,55.42958831787109,0.5002040772412032,0.018,3,True,low_low
NO2,7,g_033_008,3.4675,-76.55749999999999,8.517971515655518,55.03596115112305,0.5362466005898422,0.014,3,True,low_low
NO2,7,g_033_009,3.4675,-76.5525,8.459193706512451,54.7098503112793,0.5864080526295424,0.012,3,True,low_low
NO2,7,g_033_010,3.4675,-76.5475,8.436967849731445,54.4536018371582,0.5073273534332448,0.033,3,True,low_low
NO2,7,g_033_011,3.4675,-76.54249999999999,8.78977108001709,54.26912689208984,0.14741299696615176,0.227,3,False,not_significant
NO2,7,g_033_012,3.4675,-76.5375,9.589691638946531,54.15785598754883,0.04017650270305307,0.259,1,False,not_significant
NO2,7,g_033_013,3.4675,-76.5325,10.285515785217283,54.12066650390625,0.5634593823938391,0.029,1,True,high_high
NO2,7,g_033_014,3.4675,-76.5275,10.630533695220947,54.15785598754883,1.1811654416004047,0.003,1,True,high_high
NO2,7,g_033_015,3.4675,-76.5225,10.87770652770996,54.26912689208984,1.692886214296494,0.001,1,True,high_high
NO2,7,g_033_016,3.4675,-76.5175,11.024752616882324,54.4536018371582,2.055910454205267,0.001,1,True,high_high
NO2,7,g_033_017,3.4675,-76.5125,11.105515956878662,54.7098503112793,2.246244323261408,0.001,1,True,high_high
NO2,7,g_033_018,3.4675,-76.5075,11.058739185333252,55.03596115112305,2.2187520294279683,0.001,1,True,high_high
NO2,7,g_033_019,3.4675,-76.5025,11.048136711120604,55.42958831787109,2.166857257638246,0.001,1,True,high_high
NO2,7,g_033_020,3.4675,-76.4975,11.012516975402832,55.8880500793457,2.0229651023143536,0.001,1,True,high_high
NO2,7,g_033_021,3.4675,-76.49249999999999,10.856263637542725,56.40840530395508,1.502146608155798,0.001,1,True,high_high
NO2,7,g_033_022,3.4675,-76.4875,10.24360418319702,56.987525939941406,0.41699044831954446,0.066,1,False,not_significant
NO2,7,g_033_023,3.4675,-76.4825,8.880985260009766,57.622188568115234,0.05079979402896538,0.412,3,False,not_significant
NO2,7,g_033_024,3.4675,-76.47749999999999,8.328675746917725,58.30913162231445,0.5484323048913428,0.04,3,True,low_low
NO2,7,g_033_025,3.4675,-76.4725,8.571089744567871,59.04512023925781,0.47514339395468813,0.02,3,True,low_low
NO2,7,g_033_026,3.4675,-76.4675,8.817904472351074,59.82699203491211,0.25521735373841276,0.066,3,False,not_significant
NO2,7,g_033_027,3.4675,-76.46249999999999,8.970104694366455,60.65168380737305,0.11831439381368787,0.177,3,False,not_significant
NO2,7,g_033_028,3.4675,-76.4575,9.270800590515137,61.51627731323242,0.006640860735729106,0.442,3,False,not_significant
